Event,Gold,Silver,Bronze
57 kg,Zaur Uguev ROC,Ravi Kumar India,Nurislam Sanayev Kazakhstan
57 kg,Zaur Uguev ROC,Ravi Kumar India,Thomas Gilman United States
65 kg,Takuto Otoguro Japan,Haji Aliyev Azerbaijan,Gadzhimurad Rashidov ROC
65 kg,Takuto Otoguro Japan,Haji Aliyev Azerbaijan,Bajrang Punia India
74 kg,Zaurbek Sidakov ROC,Mahamedkhabib Kadzimahamedau Belarus,Kyle Dake United States
74 kg,Zaurbek Sidakov ROC,Mahamedkhabib Kadzimahamedau Belarus,Bekzod Abdurakhmonov Uzbekistan
86 kg,David Taylor United States,Hassan Yazdani Iran,Artur Naifonov ROC
86 kg,David Taylor United States,Hassan Yazdani Iran,Myles Amine San Marino
97 kg,Abdulrashid Sadulaev ROC,Kyle Snyder United States,Reineris Salas Cuba
97 kg,Abdulrashid Sadulaev ROC,Kyle Snyder United States,Abraham Conyedo Italy
125 kg,Gable Steveson United States,Geno Petriashvili Georgia,Amir Hossein Zare Iran
125 kg,Gable Steveson United States,Geno Petriashvili Georgia,Taha Akgül Turkey
