Event,Gold,Silver,Bronze
57 kgdetails,Zaur UguevROC,Ravi KumarIndia,Nurislam SanayevKazakhstan
57 kgdetails,Zaur UguevROC,Ravi KumarIndia,Thomas GilmanUnited States
65 kgdetails,Takuto OtoguroJapan,Haji AliyevAzerbaijan,Gadzhimurad RashidovROC
65 kgdetails,Takuto OtoguroJapan,Haji AliyevAzerbaijan,Bajrang PuniaIndia
74 kgdetails,Zaurbek SidakovROC,Mahamedkhabib KadzimahamedauBelarus,Kyle DakeUnited States
74 kgdetails,Zaurbek SidakovROC,Mahamedkhabib KadzimahamedauBelarus,Bekzod AbdurakhmonovUzbekistan
86 kgdetails,David TaylorUnited States,Hassan YazdaniIran,Artur NaifonovROC
86 kgdetails,David TaylorUnited States,Hassan YazdaniIran,Myles AmineSan Marino
97 kgdetails,Abdulrashid SadulaevROC,Kyle SnyderUnited States,Reineris SalasCuba
97 kgdetails,Abdulrashid SadulaevROC,Kyle SnyderUnited States,Abraham ConyedoItaly
125 kgdetails,Gable StevesonUnited States,Geno PetriashviliGeorgia,Amir Hossein ZareIran
125 kgdetails,Gable StevesonUnited States,Geno PetriashviliGeorgia,Taha AkgülTurkey
