Weight Class,Rank,Athlete,Country
 57 kg,1,Chong Song HAN,PRK
 57 kg,2,Bekzat ALMAZ UULU,KGZ
 57 kg,3,Spencer Richard LEE,USA
 57 kg,4,Roman Guillermo BRAVO YOUNG,MEX
 61 kg,1,Zavur UGUEV,UWW
 61 kg,2,Ahmad Masoud MOHAMMADNEZHADJAVAN,IRI
 61 kg,3,Nuraddin NOVRUZOV,AZE
 61 kg,4,Zelimkhan ABAKAROV,ALB
 65 kg,1,Sujeet SUJEET,IND
 65 kg,2,Rahman Mousa AMOUZADKHALILI,IRI
 65 kg,3,Umidjon JALOLOV,UZB
 65 kg,4,Kotaro KIYOOKA,JPN
 70 kg,1,Ernazar Kubatbekovich AKMATALIEV,KGZ
 70 kg,2,Yoshinosuke AOYAGI,JPN
 70 kg,3,Tulga TUMUR-OCHIR,MGL
 70 kg,4,VASILE DIACON,MDA
 74 kg,1,Kota TAKAHASHI,JPN
 74 kg,2,Tajmuraz Mairbekovic SALKAZANOV,SVK
 74 kg,3,Giorgi ELBAKIDZE,GEO
 74 kg,4,Magomedrasul Shakhban A ASLUEV,BRN
 79 kg,1,Georgios KOUGIOUMTSIDIS,GRE
 79 kg,2,Dzhabrail GADZHIEV,AZE
 79 kg,3,Mohammad Ashghar NOKHODILARIMI,IRI
 79 kg,4,Levi David HAINES,USA
 86 kg,1,Arsenii DZHIOEV,AZE
 86 kg,2,Zahid VALENCIA,USA
 86 kg,3,Kamran Ghorban GHASEMPOUR,IRI
 86 kg,4,Ibragim KADIEV,RUS
 92 kg,1,Trent Niemond HIDLAY,USA
 92 kg,2,Amanula GADZHIMAGOMEDOV,UWW
 92 kg,3,Miriani MAISURADZE,GEO
 92 kg,4,Amirhossein Biglar FIROUZPOURBANDPEI,IRI
 97 kg,1,Kyle SNYDER,USA
 97 kg,2,Amirali Hamid AZARPIRA,IRI
 97 kg,3,Arash YOSHIDA,JPN
 97 kg,4,Akhmed Magomed O TAZHUDINOV,BRN
 125 kg,1,Giorgi MESHVILDISHVILI,AZE
 125 kg,2,Amir Hossein Abbas ZARE,IRI
 125 kg,3,Shamil Magomed A SHARIPOV,BRN
 125 kg,4,Vlagyiszlav BAJCAJEV,HUN
