Weight Class,Rank,Athlete,Country
125 kg,1,Gable Steveson,USA
125 kg,2,Geno Petriashvili,GEO
125 kg,3,Amir Hossein Zare,IRI
125 kg,4,Taha Akgül,TUR
57 kg,1,Zaur Uguev,ROC
57 kg,2,Ravi Kumar,IND
57 kg,3,Nurislam Sanayev,KAZ
57 kg,4,Thomas Gilman,USA
65 kg,1,Takuto Otoguro,JPN
65 kg,2,Haji Aliyev,AZE
65 kg,3,Gadzhimurad Rashidov,ROC
65 kg,4,Bajrang Punia,IND
74 kg,1,Zaurbek Sidakov,ROC
74 kg,2,Mahamedkhabib Kadzimahamedau,BLR
74 kg,3,Kyle Dake,USA
74 kg,4,Bekzod Abdurakhmonov,UZB
86 kg,1,David Taylor,USA
86 kg,2,Hassan Yazdani,IRI
86 kg,3,Artur Naifonov,ROC
86 kg,4,Myles Amine,SMR
97 kg,1,Abdulrashid Sadulaev,ROC
97 kg,2,Kyle Snyder,USA
97 kg,3,Reineris Salas,CUB
97 kg,4,Abraham Conyedo,ITA
