Weight Class,Rank,Athlete,Country,Points
FS 57,1,Chong Song HAN,PRK,45000
FS 57,2,Bekzat ALMAZ UULU,KGZ,37000
FS 57,3,Spencer Richard LEE,USA,36500
FS 57,4,Roman Guillermo BRAVO YOUNG,MEX,31400
FS 57,5,Arsen HARUTYUNYAN,ARM,31000
FS 61,1,Zavur UGUEV,UWW,71000
FS 61,2,Ahmad Masoud MOHAMMADNEZHADJAVAN,IRI,43500
FS 61,3,Nuraddin NOVRUZOV,AZE,39000
FS 61,4,Zelimkhan ABAKAROV,ALB,35500
FS 61,5,Assylzhan YESSENGELDI,KAZ,31000
FS 65,1,Sujeet SUJEET,IND,48000
FS 65,2,Rahman Mousa AMOUZADKHALILI,IRI,45000
FS 65,3,Umidjon JALOLOV,UZB,44100
FS 65,4,Kotaro KIYOOKA,JPN,37000
FS 65,5,Real Marshall Ray WOODS,USA,31000
FS 70,1,Ernazar Kubatbekovich AKMATALIEV,KGZ,48500
FS 70,2,Yoshinosuke AOYAGI,JPN,45000
FS 70,3,Tulga TUMUR-OCHIR,MGL,45000
FS 70,4,VASILE DIACON,MDA,31520
FS 70,5,Nurkozha KAIPANOV,KAZ,31000
FS 74,1,Kota TAKAHASHI,JPN,45000
FS 74,2,Tajmuraz Mairbekovic SALKAZANOV,SVK,44000
FS 74,3,Giorgi ELBAKIDZE,GEO,39500
FS 74,4,Magomedrasul Shakhban A ASLUEV,BRN,38200
FS 74,5,Yones Aliakbar EMAMICHOGHAEI,IRI,38000
FS 79,1,Georgios KOUGIOUMTSIDIS,GRE,45000
FS 79,2,Dzhabrail GADZHIEV,AZE,39700
FS 79,3,Mohammad Ashghar NOKHODILARIMI,IRI,39000
FS 79,4,Levi David HAINES,USA,37000
FS 79,5,Zelimkhan KHADJIEV,FRA,34500
FS 86,1,Arsenii DZHIOEV,AZE,54200
FS 86,2,Zahid VALENCIA,USA,50200
FS 86,3,Kamran Ghorban GHASEMPOUR,IRI,44000
FS 86,4,Ibragim KADIEV,RUS,42300
FS 86,5,Mukul DAHIYA,IND,40000
FS 92,1,Trent Niemond HIDLAY,USA,51400
FS 92,2,Amanula GADZHIMAGOMEDOV,UWW,46500
FS 92,3,Miriani MAISURADZE,GEO,43900
FS 92,4,Amirhossein Biglar FIROUZPOURBANDPEI,IRI,42000
FS 92,5,Kamil KURUGLIYEV,KAZ,32000
FS 97,1,Kyle SNYDER,USA,55200
FS 97,2,Amirali Hamid AZARPIRA,IRI,48000
FS 97,3,Arash YOSHIDA,JPN,44000
FS 97,4,Akhmed Magomed O TAZHUDINOV,BRN,40500
FS 97,5,Akhmed Adamovich MAGAMAEV,BUL,34500
FS 125,1,Giorgi MESHVILDISHVILI,AZE,56520
FS 125,2,Amir Hossein Abbas ZARE,IRI,55000
FS 125,3,Shamil Magomed A SHARIPOV,BRN,47000
FS 125,4,Vlagyiszlav BAJCAJEV,HUN,39200
FS 125,5,Robert BARAN,POL,35000
